,Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Arsenal,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,6.0,5.0,8.0
1,Aston Villa,6.0,8.0,8.0,16.0,6.0,10.0,16.0,11.0,6.0,6.0,6.0,9.0,16.0,15.0,15.0,17.0,20.0,0.0,0.0,0.0,17.0
2,Birmingham,0.0,0.0,0.0,13.0,10.0,12.0,18.0,0.0,19.0,0.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Blackburn,0.0,0.0,10.0,6.0,15.0,15.0,6.0,10.0,7.0,15.0,10.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Blackpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Bolton,0.0,0.0,16.0,17.0,8.0,6.0,8.0,7.0,16.0,13.0,14.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,12.0,14.0,18.0
7,Bradford,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,15.0
9,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,19.0,0.0,16.0,7.0,15.0,10.0
10,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,18.0,0.0
11,Charlton,0.0,9.0,14.0,12.0,7.0,11.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Chelsea,5.0,6.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,6.0,3.0,3.0,1.0,10.0,1.0,5.0,3.0,4.0
13,Coventry,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
