date,home,away,text
2014-02-21,Manchester City,Stoke City,"This visit of Stoke City is the last league game for Manchester City until 15 March due to the League Cup final, an FA Cup sixth-round and the international break so Manuel Pellegrini is keen for his side to sign off with a win. Despite the midweek loss to Barcelona in the Champions League, Pellegrini is confident his players will not be affected so Stoke may be in for a torrid time at the Etihad, where only Chelsea have taken any points from the home side. Jamie Jackson"
2014-02-21,West Ham United,Southampton FC,"West Ham come into this fixture having won their last three games 2-0 but they have struggled in recent meetings with Southampton, having won just one of the last eight. Mauricio Pochettino's team, meanwhile, are unbeaten in six league games and will be looking to win a third consecutive away game for the first time in the top flight – after victories at Fulham and Hull. Alan Smith"
2014-02-21,Liverpool FC,Swansea,"Garry Monk's first visit to Anfield as a player ended in a 7-1 defeat with Southampton in January 1999 but, even with Liverpool prolific at home, he will be confident of an improvement on his first outing here as manager. Last weekend's FA Cup defeat to Everton was Swansea's first defeat in four matches under Monk. They have rediscovered their cohesion and energy in recent weeks but will need to be on peak form to withstand a Liverpool team smarting from their cup exit at Arsenal and sensing a title challenge under the former Swansea manager Brendan Rodgers. Andy Hunter"
2014-02-21,Arsenal FC,Sunderland AFC,"Gus Poyet says the excitement at Sunderland has been reflected in the best week of training under his charge. The Capital One Cup final against Manchester City looms next weekend – Sunderland's first major final for 22 years – and there is also an FA Cup quarter-final at Brighton or Hull. Yet nothing matters more than Premier League survival and, with his team in the relegation zone, Poyet is desperate for a tonic. Arsenal want a response to the Champions League loss against Bayern Munich. David Hytner"
2014-02-21,Cardiff City,Hull City,"Cardiff's home form has kept them alive, with 16 of their 22 points coming at their own stadium. And with four of their remaining six home fixtures, starting today, against teams residing in the bottom half, a result is needed here if they are to climb to safety. Hull are in a precarious position: win and they could be 10th but defeat would draw them towards the bottom three. Alan Smith"
2014-02-21,Chelsea FC,Everton FC,"Before a reunion with Didier Drogba in midweek, José Mourinho must focus on overcoming a spirited Everton side who defeated them at Goodison back in September. John Terry is back after a muscle injury and Gary Cahill is in contention despite a thigh problem. For Everton, Romelu Lukaku is ineligible against his parent club, while Steven Naismith will play some part after a head injury. Conor Davies"
2014-02-21,Crystal Palace,Manchester United,"This promises to be an awkward test for Manchester United, who cannot afford another defeat if they are to keep alive their diminishing hopes of finishing in the top four. Crystal Palace have been excellent at Selhurst Park since Tony Pulis's arrival, winning five of their seven home matches under the former Stoke City manager. Although Palace remain two points above the bottom three, they will fancy their chances of giving David Moyes another headache. United have found it difficult at this ground in the past. Jacob Steinberg"
2014-02-21,Newcastle United,Aston Villa,"Villa have just returned from a warm weather training break in Portugal. Paul Lambert can only trust it has done them more good than last month's trip to Abu Dhabi did Newcastle. Since returning, Alan Pardew's team have failed to score a goal while conceding 10 in their last three games. With only one win in nine matches and lacking a home victory since Boxing Day, Pardew is under pressure. ""Newcastle's crowd can become edgy,"" said Lambert. ""We've got to try to get their crowd against them."" Louise Taylor"
2014-02-21,Norwich City,Tottenham Hotspur,"After a disappointing loss to West Ham United in their last outing, the Norwich manager, Chris Hughton, will be hoping to ease the pressure and he may have midfielder Jonny Howson returning from a back injury to help him. Tim Sherwood will welcome back Emmanuel Adebayor and Hugo Lloris after they were rested against Dnipro on Thursday as Spurs look to maintain their top-four push. Conor Davies"
2014-02-21,West Bromwich Albion,Fulham FC,"Felix Magath has always been known as a tough taskmaster and his first act after being handed the Fulham job last week was to order the players in for extra training. We will see this afternoon whether that worked but with only one point from the last six games, they need an instant response. West Bromwich, however, have the next worst recent run of form with three points from 18. Alan Smith"
2014-02-28,Swansea,Crystal Palace,"Now their European adventure has concluded, following a 3-1 defeat at Napoli on Thursday, Garry Monk's Swansea can place all their focus on assuring their top-tier status. Four points clear of 18th, they could easily be dragged into the mire – and Palace, who have won three of their past six despite defeat to Manchester United last weekend, would overtake them with a win here. Alan Smith"
2014-02-28,Tottenham Hotspur,Cardiff City,"So many things have been against Cardiff City, according to the owner Vincent Tan, from an unfair and racist press to a previous management team that could not do business. Yet the greatest single issue is the club's league position and they sorely need a response to last weekend's 4-0 home loss to Hull. Ole Gunnar Solskjaer's team, having now failed to score in three league fixtures. What a relief that 90% of the Cardiff support remain firmly behind Tan then … David Hytner"
2014-02-28,Stoke City,Arsenal FC,"Arsenal's ambitions remain in the balance as they head for a stadium that has not been kind to them in the past – the scene of some bad-tempered defeats and, of course, Aaron Ramsey's broken leg. This will be a first visit post-Tony Pulis, but Mark Hughes and Arsène Wenger have not always seen eye to eye and Hughes's side sit nervously just three points above the relegation places. Paul Chronnell"
2014-02-28,Aston Villa,Norwich City,"Not a lot of love lost between these two clubs. Relations have been strained ever since Paul Lambert left Norwich for Villa in 2012 and time has not been much of a healer. A game full of subplots – Wes Hoolahan wanted to join Villa from Norwich in January while Grant Holt, who scored prolifically during his time at Carrow Road, is likely to be among the Villa substitutes – carries extra significance because both clubs are desperate for points to climb clear of the relegation scrap. Stuart James"
2014-02-28,Hull City,Newcastle United,"Hull come into this on the back of two wins, a 4-0 hammering of Cardiff followed up by a 2-1 win over Brighton to advance to the FA Cup sixth round, but they remain six points above the relegation places despite residing in 11th, so are not safe just yet. Newcastle ended a run of three defeats in dramatic fashion against Villa and are destined for mid-table despite a poor run of form. Alan Smith"
