,FTR
0,2
1,2
2,1
3,2
4,1
5,1
6,0
7,2
8,1
9,2
10,2
11,2
12,1
13,0
14,2
15,0
16,0
17,1
18,2
19,2
20,0
21,1
22,2
23,2
24,0
25,1
26,2
27,1
28,2
29,2
30,2
31,1
32,2
33,1
34,0
35,1
36,0
37,1
38,1
39,2
40,1
41,1
42,0
43,1
44,1
45,2
46,2
47,2
48,2
49,0
50,0
51,1
52,0
53,1
54,1
55,2
56,2
57,1
58,0
59,0
60,0
61,2
62,1
63,2
64,1
65,1
66,2
67,2
68,0
69,2
70,2
71,1
72,2
73,0
74,1
75,1
76,1
77,0
78,2
79,1
80,2
81,2
82,2
83,1
84,2
85,0
86,1
87,2
88,0
89,0
90,2
91,0
92,2
93,2
94,2
95,2
96,1
97,0
98,2
99,2
100,1
101,2
102,1
103,2
104,1
105,2
106,2
107,0
108,2
109,0
110,2
111,1
112,2
113,2
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,1
122,1
123,2
124,2
125,1
126,2
127,0
128,0
129,0
130,0
131,2
132,2
133,2
134,2
135,2
136,0
137,2
138,0
139,1
140,0
141,1
142,0
143,1
144,2
145,1
146,2
147,2
148,1
149,2
150,2
151,1
152,2
153,1
154,2
155,1
156,2
157,2
158,2
159,2
160,1
161,1
162,2
163,0
164,0
165,2
166,1
167,2
168,2
169,1
170,2
171,0
172,0
173,0
174,2
175,0
176,2
177,0
178,0
179,2
180,1
181,2
182,0
183,0
184,2
185,0
186,1
187,2
188,0
189,1
190,0
191,2
192,2
193,2
194,2
195,2
196,0
197,2
198,1
199,0
200,0
201,2
202,2
203,1
204,0
205,2
206,1
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,0
216,1
217,1
218,1
219,1
220,1
221,2
222,2
223,0
224,1
225,2
226,2
227,1
228,0
229,2
230,0
231,0
232,0
233,2
234,2
235,2
236,0
237,1
238,1
239,0
240,0
241,2
242,2
243,2
244,1
245,2
246,2
247,1
248,2
249,2
250,2
251,2
252,0
253,0
254,2
255,2
256,1
257,1
258,1
259,2
260,0
261,1
262,2
263,1
264,0
265,1
266,2
267,2
268,2
269,2
270,1
271,0
272,2
273,1
274,2
275,1
276,2
277,1
278,0
279,2
280,2
281,2
282,0
283,2
284,2
285,1
286,0
287,1
288,0
289,1
290,2
291,2
292,2
293,1
294,1
295,2
296,2
297,0
298,1
299,2
300,1
301,2
302,1
303,2
304,0
305,1
306,2
307,2
308,1
309,2
310,2
311,2
312,0
313,2
314,0
315,2
316,0
317,2
318,2
319,0
320,2
321,0
322,0
323,1
324,1
325,2
326,1
327,1
328,1
329,2
330,2
331,2
332,2
333,1
334,1
335,2
336,0
337,2
338,2
339,2
340,1
341,2
342,0
343,2
344,1
345,2
346,1
347,2
348,2
349,1
350,0
351,2
352,2
353,1
354,1
355,2
356,2
357,2
358,0
359,2
360,1
361,2
362,0
363,2
364,0
365,0
366,1
367,0
368,2
369,2
370,2
371,0
372,2
373,1
374,2
375,1
376,0
377,2
378,0
379,0
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,0
388,2
389,0
390,2
391,2
392,0
393,0
394,1
395,0
396,1
397,2
398,2
399,1
400,0
401,2
402,2
403,1
404,2
405,2
406,2
407,0
408,0
409,2
410,0
411,1
412,2
413,2
414,0
415,0
416,1
417,0
418,1
419,1
420,2
421,0
422,2
423,2
424,0
425,1
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,1
435,1
436,0
437,1
438,2
439,2
440,0
441,0
442,2
443,1
444,0
445,0
446,2
447,2
448,2
449,2
450,1
451,2
452,2
453,1
454,2
455,0
456,2
457,1
458,2
459,0
460,0
461,1
462,2
463,1
464,2
465,0
466,0
467,0
468,2
469,0
470,0
471,2
472,1
473,1
474,2
475,0
476,0
477,2
478,0
479,2
480,2
481,0
482,1
483,2
484,2
485,0
486,2
487,0
488,2
489,2
490,2
491,0
492,0
493,1
494,0
495,2
496,1
497,0
498,2
499,1
500,0
501,2
502,1
503,2
504,2
505,0
506,0
507,1
508,1
509,0
510,2
511,2
512,0
513,1
514,2
515,0
516,0
517,2
518,2
519,2
520,0
521,2
522,2
523,2
524,2
525,0
526,2
527,2
528,2
529,0
530,1
531,2
532,1
533,1
534,0
535,0
536,2
537,0
538,2
539,0
540,1
541,0
542,2
543,0
544,2
545,0
546,0
